DATE,FROM_CURRENCY,EXCHANGE_RATE
2023-02-14,GBP,1.208780
2024-01-28,EUR,1.085710
2023-10-21,AED,0.272290
2024-07-08,CHF,1.116720
2023-03-27,GBP,1.223630
2023-03-18,MXN,0.053200
2024-07-02,CAD,0.729800
2024-05-05,EUR,1.076410
2023-10-26,MXN,0.054650
2023-06-14,CAD,0.749920
2024-02-05,INR,0.012050
2023-09-19,CAD,0.740740
2024-05-10,SGD,0.738280
2023-05-27,INR,0.012100
2024-08-31,BRL,0.177610
2023-07-17,AED,0.272310
2023-03-15,AUD,0.666640
2024-03-29,JPY,0.006610
2024-07-02,AUD,0.666580
2024-09-03,CHF,1.175520
2023-05-10,CHF,1.122490
2023-05-23,AUD,0.664750
2024-08-31,CAD,0.741540
2023-06-28,GBP,1.273840
2023-12-17,AUD,0.670750
2024-11-08,EUR,1.077090
2024-11-03,CHF,1.149980
2023-03-22,CAD,0.730370
2024-03-26,CAD,0.735850
2023-12-17,CHF,1.149360
2024-07-24,AUD,0.662420
2023-01-05,EUR,1.059590
2024-06-20,JPY,0.006330
2024-05-25,CAD,0.729980
2024-08-14,SGD,0.757000
2024-10-31,SGD,0.755770
2024-02-15,EUR,1.071650
2024-10-22,JPY,0.006670
2023-06-07,EUR,1.070050
2024-05-31,JPY,0.006370
2023-04-02,AED,0.272330
2024-02-27,SGD,0.743890
2024-01-25,MXN,0.058030
2024-11-07,CHF,1.144010
2023-02-28,EUR,1.057420
2023-07-10,AED,0.272280
2023-04-24,CAD,0.738680
2024-03-11,CAD,0.741730
2023-01-15,SGD,0.758420
2024-02-02,INR,0.012050
2024-11-17,GBP,1.262310
2023-01-04,AED,0.272300
2023-03-24,BRL,0.190310
2024-07-07,AUD,0.674990
2023-09-17,JPY,0.006760
2024-10-26,SGD,0.757520
2024-04-01,JPY,0.006610
2024-03-13,EUR,1.092820
2024-08-12,GBP,1.275910
2024-11-07,SGD,0.751130
2023-11-07,CAD,0.731900
2023-09-20,EUR,1.068710
2024-04-09,AUD,0.659140
2024-03-27,CHF,1.108890
2024-02-27,JPY,0.006640
2023-11-17,JPY,0.006620
2023-01-07,BRL,0.188560
2023-03-16,MXN,0.053130
2023-01-12,MXN,0.052550
2023-09-29,EUR,1.053730
2023-04-17,MXN,0.055570
2023-01-28,EUR,1.087420
2024-03-14,EUR,1.093820
2023-07-08,EUR,1.092100
2024-10-30,AUD,0.656510
2023-12-24,CAD,0.754030
2024-08-11,CHF,1.155950
2023-04-19,CAD,0.747230
2023-02-15,AED,0.272290
2023-11-01,CAD,0.721930
2023-03-06,INR,0.012240
2024-08-12,AUD,0.657270
2023-04-22,AED,0.272360
2023-12-04,AUD,0.667660
2023-05-27,AED,0.272360
2023-03-03,EUR,1.062090
2023-05-30,AED,0.272360
2023-01-25,CAD,0.748220
2024-02-29,CHF,1.136770
2023-03-04,EUR,1.061750
2023-10-31,GBP,1.213680
2023-04-30,BRL,0.200600
2024-06-09,SGD,0.739650
2024-06-30,CHF,1.113030
2023-06-26,AED,0.272320
2023-03-27,BRL,0.190690
2023-12-18,GBP,1.268140
2023-05-04,MXN,0.055750
2023-08-16,SGD,0.736990
2023-12-20,CHF,1.157280
2024-09-10,EUR,1.105530
2024-03-04,SGD,0.744220
2024-10-04,BRL,0.183200
2023-05-14,BRL,0.203280
2023-01-12,INR,0.012250
2023-04-11,MXN,0.055120
2024-06-02,INR,0.011990
2024-07-18,EUR,1.092540
2023-10-21,MXN,0.054660
2023-03-12,GBP,1.203620
2024-08-21,MXN,0.053130
2023-07-19,CHF,1.165090
2023-09-20,GBP,1.238970
2023-10-25,SGD,0.731620
2024-09-12,EUR,1.102930
2023-07-02,INR,0.012180
2023-04-22,MXN,0.055560
2023-05-03,CAD,0.736090
2023-09-11,MXN,0.056910
2023-09-01,SGD,0.740300
2023-11-10,JPY,0.006620
2023-10-15,INR,0.012010
2023-07-10,MXN,0.058360
2023-01-16,GBP,1.223160
2024-04-09,BRL,0.198310
2023-04-20,BRL,0.199180
2024-06-09,JPY,0.006380
2023-06-21,EUR,1.092040
2023-05-29,AUD,0.651980
2023-10-04,AED,0.272290
2024-07-02,CHF,1.109400
2023-04-08,CAD,0.740640
2024-07-20,SGD,0.743660
2023-01-12,GBP,1.214500
2023-10-16,CAD,0.732590
2023-12-18,AUD,0.670690
2023-08-12,INR,0.012070
2024-06-23,INR,0.011970
2024-11-15,INR,0.011840
2024-06-26,AED,0.272290
2023-10-12,MXN,0.055940
2024-11-02,AUD,0.656930
2024-10-22,AED,0.272290
2024-11-12,AED,0.272290
2023-12-30,INR,0.012020
2023-01-14,CAD,0.747090
2023-08-24,AUD,0.644930
2024-05-13,BRL,0.194050
2024-04-04,EUR,1.079860
2023-05-31,EUR,1.071980
2024-09-05,BRL,0.177250
2023-06-22,INR,0.012200
2024-01-09,CAD,0.748030
2023-02-03,MXN,0.053780
2024-07-31,CAD,0.722080
2024-01-29,INR,0.012030
2023-05-24,JPY,0.007220
2024-05-23,MXN,0.060120
2023-08-19,EUR,1.087600
2023-10-26,EUR,1.058280
2024-08-29,AUD,0.678720
2024-09-19,INR,0.011950
2024-04-01,AUD,0.652330
2023-05-03,JPY,0.007290
2024-04-11,GBP,1.261990
2024-09-04,INR,0.011910
2023-02-28,BRL,0.192240
2024-09-19,AUD,0.677110
2023-09-16,EUR,1.065970
2023-07-09,AUD,0.669290
2023-04-07,CAD,0.741940
2023-12-28,JPY,0.007030
2024-11-13,MXN,0.048830
2024-07-21,SGD,0.743380
2024-04-22,INR,0.011990
2023-07-24,CHF,1.155180
2023-08-25,JPY,0.006870
2023-02-23,SGD,0.746510
2023-03-06,AUD,0.676950
2024-06-08,SGD,0.741810
2024-08-17,INR,0.011920
2024-05-06,JPY,0.006540
2023-01-17,AUD,0.697150
2024-10-01,AED,0.272290
2023-12-30,MXN,0.059000
2023-08-02,JPY,0.007000
2024-10-15,JPY,0.006690
2024-06-25,AUD,0.664940
2023-12-07,MXN,0.057750
2024-02-06,CAD,0.740650
2023-10-24,AED,0.272300
2024-06-20,SGD,0.740390
2024-01-06,CAD,0.748710
2024-10-21,GBP,1.305460
2023-11-18,SGD,0.743330
2023-12-12,AED,0.272350
2023-05-05,INR,0.012230
2024-03-10,AED,0.272290
2023-04-08,CHF,1.105450
2024-10-09,MXN,0.051750
2023-08-08,INR,0.012090
2024-02-17,AED,0.272300
2024-01-26,INR,0.012030
2023-08-14,CHF,1.141260
2024-10-02,JPY,0.006950
2023-06-18,CHF,1.119070
2023-08-08,BRL,0.204780
2024-02-29,SGD,0.743120
2023-02-27,MXN,0.054390
2023-12-09,AED,0.272350
2023-04-03,JPY,0.007530
2023-05-21,CAD,0.741060
2023-07-07,JPY,0.006940
2023-12-06,BRL,0.202390
2024-06-23,BRL,0.184160
2023-07-04,AUD,0.666400
2024-08-02,JPY,0.006680
2023-03-17,GBP,1.208650
2023-06-11,AED,0.272320
2023-04-09,BRL,0.197850
2023-11-25,JPY,0.006690
2024-08-05,CAD,0.720880
2024-10-31,MXN,0.049740
2023-11-12,AUD,0.636080
2023-11-14,AUD,0.637250
2023-03-16,AED,0.272310
2023-03-05,INR,0.012240
2024-02-08,JPY,0.006760
2023-03-09,BRL,0.193610
2023-06-08,EUR,1.069980
2024-01-24,SGD,0.745960
2023-08-26,SGD,0.737550
2024-05-05,GBP,1.254840
2023-09-08,MXN,0.056900
2023-02-06,CAD,0.746330
2024-07-02,BRL,0.178470
2023-01-06,CAD,0.739070
2024-09-03,JPY,0.006820
2024-11-17,AED,0.272280
2024-07-21,AED,0.272290
2023-08-18,EUR,1.087660
2024-09-17,MXN,0.052000
2023-09-15,EUR,1.069700
2024-07-24,JPY,0.006410
2023-03-19,BRL,0.189470
2024-03-28,INR,0.012000
2024-05-20,INR,0.012010
2024-05-28,CHF,1.094110
2023-01-01,INR,0.012100
2024-03-13,INR,0.012080
2024-07-12,CAD,0.733950
2024-08-10,INR,0.011910
2023-07-08,CAD,0.750350
2024-09-26,AED,0.272290
2023-04-19,AED,0.272370
2023-12-15,INR,0.012000
2024-11-09,AED,0.272290
2023-05-15,GBP,1.245030
2023-09-03,EUR,1.077810
2023-12-24,MXN,0.058920
2023-10-17,JPY,0.006690
2023-05-19,JPY,0.007240
2023-01-10,CAD,0.746760
2024-08-04,AUD,0.651210
2024-09-20,AUD,0.680760
2023-12-03,CHF,1.150810
2023-10-25,CHF,1.120660
2023-06-05,INR,0.012140
2023-08-11,GBP,1.272310
2023-02-25,INR,0.012080
2023-01-21,CAD,0.744220
2023-08-03,INR,0.012110
2024-01-08,AED,0.272300
2024-06-03,JPY,0.006360
2023-09-12,JPY,0.006830
2023-08-13,CHF,1.141270
2023-06-05,AUD,0.660650
2023-02-01,INR,0.012240
2023-06-18,MXN,0.058600
2024-03-07,JPY,0.006680
2024-01-08,GBP,1.272010
2023-06-05,CHF,1.100480
2023-09-28,SGD,0.729360
2023-03-14,MXN,0.053620
2023-10-17,MXN,0.055660
2024-07-24,EUR,1.086830
2023-01-17,EUR,1.083210
2023-11-04,EUR,1.067730
2023-03-14,EUR,1.071260
2023-06-10,CAD,0.749300
2023-06-21,CHF,1.114380
2024-09-23,SGD,0.774960
2023-02-17,BRL,0.191510
2023-04-18,CHF,1.115920
2024-10-31,BRL,0.173480
2023-09-12,SGD,0.734830
2024-07-19,AUD,0.672700
2023-10-27,GBP,1.210460
2024-06-13,EUR,1.078450
2024-01-18,AED,0.272300
2023-05-31,BRL,0.198780
2023-09-14,BRL,0.202810
2024-03-08,INR,0.012080
2024-04-21,JPY,0.006470
2023-02-03,JPY,0.007780
2024-08-04,CHF,1.165750
2023-01-22,INR,0.012350
2023-03-11,INR,0.012190
2023-11-22,BRL,0.205300
2023-08-21,AUD,0.641330
2024-07-17,CAD,0.730910
2023-02-24,CHF,1.072980
2024-10-14,CAD,0.726570
2024-08-25,BRL,0.182230
2024-02-28,CAD,0.740210
2023-11-29,AUD,0.662860
2023-10-10,AED,0.272300
2024-07-06,GBP,1.279090
2024-02-03,AUD,0.656190
2023-08-07,INR,0.012090
2023-06-16,SGD,0.746120
2023-06-08,SGD,0.741900
2023-09-30,JPY,0.006700
2024-08-25,GBP,1.321880
2024-01-27,JPY,0.006760
2024-10-01,CHF,1.185560
2023-03-11,EUR,1.061830
2023-08-03,AED,0.272290
2023-07-09,JPY,0.007040
2024-03-09,AUD,0.663170
2024-04-04,INR,0.011980
2023-10-23,BRL,0.198710
2024-01-01,GBP,1.273240
2023-01-27,INR,0.012270
2023-01-09,GBP,1.209800
2023-03-29,AUD,0.669100
2023-07-01,INR,0.012190
2023-02-03,AED,0.272290
2023-10-27,INR,0.012010
2023-11-09,GBP,1.227900
2023-05-12,JPY,0.007440
2024-01-11,AUD,0.669990
2024-06-08,GBP,1.276020
2024-04-11,MXN,0.060970
2023-04-07,MXN,0.054670
2024-05-11,CAD,0.731300
2024-06-20,MXN,0.054290
2023-08-20,MXN,0.058640
2023-11-06,CAD,0.732450
2023-07-11,CHF,1.125570
2023-04-22,INR,0.012180
2024-11-17,SGD,0.746060
2023-01-08,AUD,0.687690
2024-03-06,AUD,0.650020
2023-09-29,GBP,1.217910
2024-10-01,MXN,0.050850
2024-03-05,BRL,0.202070
2023-04-05,CHF,1.098830
2024-09-18,CAD,0.735730
2023-03-25,GBP,1.230500
2023-10-21,INR,0.012030
2024-06-15,CHF,1.120950
2024-09-15,AED,0.272280
2024-04-17,JPY,0.006470
2023-02-17,SGD,0.749060
2024-06-07,CHF,1.122280
2023-11-17,EUR,1.085180
2023-07-22,MXN,0.059060
2023-09-06,GBP,1.258010
2024-05-13,SGD,0.738350
2024-03-05,GBP,1.267940
2023-05-31,INR,0.012090
2023-09-10,MXN,0.056900
2023-03-18,JPY,0.007540
2024-01-04,GBP,1.264190
2023-10-04,CAD,0.729660
2023-01-03,AUD,0.681170
2024-02-06,BRL,0.201160
2024-06-10,INR,0.011980
2024-10-27,SGD,0.757890
2023-06-20,GBP,1.280540
2023-03-30,AED,0.272330
2024-03-05,EUR,1.085190
2024-07-18,SGD,0.745550
2024-09-16,CHF,1.178010
2024-08-14,AUD,0.660920
2024-07-28,GBP,1.286810
2023-06-07,INR,0.012110
2023-08-24,SGD,0.737960
2023-01-21,AUD,0.694080
2023-02-08,GBP,1.202440
2024-03-14,SGD,0.750580
2024-07-13,AUD,0.677660
2023-11-08,AED,0.272300
2023-03-16,AUD,0.664960
2024-03-03,BRL,0.201890
2023-07-13,SGD,0.749380
2024-05-12,EUR,1.077230
2023-06-17,SGD,0.747990
2023-03-12,MXN,0.054110
2024-08-03,CHF,1.154780
2024-06-09,EUR,1.080280
2023-05-23,MXN,0.056060
2024-10-05,CHF,1.169700
2023-11-20,AED,0.272280
2023-01-23,JPY,0.007720
2024-07-18,AUD,0.673500
2024-03-17,AED,0.272300
2023-06-11,CHF,1.107440
2024-01-10,BRL,0.204800
2023-01-22,JPY,0.007720
2023-06-28,CAD,0.760030
2024-07-15,GBP,1.298860
2024-08-07,EUR,1.093280
2024-07-13,AED,0.272300
2023-06-15,JPY,0.007150
2024-10-12,GBP,1.306630
2023-04-24,MXN,0.055590
2023-07-21,AED,0.272310
2024-02-21,BRL,0.202260
2023-12-20,JPY,0.006950
2024-10-22,MXN,0.050120
2024-06-20,CHF,1.130980
2023-02-14,CAD,0.748930
2023-01-28,AED,0.272300
2023-11-06,MXN,0.057340
2024-05-14,BRL,0.194360
2024-06-07,BRL,0.189430
2023-05-09,AUD,0.678130
2023-06-01,EUR,1.068500
2024-01-17,AUD,0.660470
2023-04-08,GBP,1.243370
2024-09-29,INR,0.011950
2024-02-16,CAD,0.739930
2023-11-21,AED,0.272300
2024-08-06,CAD,0.721980
2024-10-10,MXN,0.051560
2023-01-09,SGD,0.748010
2023-06-15,EUR,1.081680
2023-07-23,CAD,0.756280
2023-07-29,BRL,0.211220
2023-06-20,CHF,1.117120
2024-03-23,JPY,0.006600
2023-09-20,AUD,0.645160
2023-11-18,CAD,0.728130
2024-04-14,MXN,0.060090
2024-07-16,MXN,0.056320
2024-08-10,GBP,1.275650
2023-10-17,CAD,0.733740
2024-03-08,MXN,0.059270
2023-11-14,MXN,0.056690
2023-07-11,CAD,0.752820
2024-01-21,EUR,1.089860
2024-08-24,CAD,0.737610
2024-01-10,JPY,0.006940
2023-01-26,CAD,0.747650
2023-01-13,AED,0.272300
2023-09-05,GBP,1.262180
2023-11-12,CHF,1.108290
2024-04-22,SGD,0.734600
2023-09-08,GBP,1.247960
2023-09-01,CAD,0.739050
2024-08-03,AED,0.272290
2024-10-24,MXN,0.050160
2024-08-19,BRL,0.182730
2024-09-11,MXN,0.050030
2024-06-15,CAD,0.727500
2023-02-16,INR,0.012070
2023-06-06,CAD,0.744270
2023-11-08,EUR,1.069570
2023-03-04,CHF,1.065310
2023-08-25,SGD,0.738600
2023-01-14,SGD,0.756830
2024-08-18,BRL,0.182730
2024-04-26,MXN,0.058370
2023-03-30,BRL,0.194050
2024-07-15,AUD,0.678340
2024-01-12,AED,0.272310
2024-06-20,AUD,0.667010
2024-09-18,GBP,1.319200
2024-02-26,MXN,0.058420
2023-04-01,BRL,0.196840
2023-12-26,GBP,1.270020
2024-04-07,AED,0.272290
2024-05-15,SGD,0.739150
2024-08-12,JPY,0.006820
2024-03-22,AED,0.272340
2023-12-01,AED,0.272350
2023-11-23,MXN,0.058150
2023-01-17,CHF,1.080500
2023-07-24,JPY,0.007050
2024-04-02,CHF,1.107470
2023-08-01,CAD,0.757000
2024-05-17,AUD,0.668110
2024-10-11,EUR,1.093480
2023-09-13,BRL,0.202490
2023-06-19,AED,0.272320
2024-02-12,GBP,1.263140
2023-11-04,AUD,0.647080
2024-07-27,MXN,0.054320
2023-11-06,BRL,0.204090
2023-08-25,CHF,1.135280
2024-01-16,INR,0.012070
2023-02-14,AUD,0.693720
2023-11-13,EUR,1.068590
2024-09-15,INR,0.011920
2024-04-02,GBP,1.259390
2024-09-29,EUR,1.116540
2023-01-06,MXN,0.051620
2023-04-30,CHF,1.118540
2023-03-23,CAD,0.729410
2023-12-25,INR,0.012010
2024-07-13,SGD,0.745060
2024-05-17,GBP,1.267570
2024-11-08,GBP,1.294660
2023-06-06,JPY,0.007150
2023-01-17,MXN,0.053240
2024-07-08,BRL,0.183190
2023-03-17,INR,0.012090
2023-06-19,EUR,1.094310
2024-03-06,BRL,0.202070
2023-08-11,SGD,0.742360
2023-06-06,SGD,0.740430
2024-05-14,SGD,0.738750
2023-11-12,EUR,1.068560
2024-01-27,CHF,1.156180
2024-10-25,EUR,1.080410
2024-09-26,GBP,1.337260
2024-01-20,EUR,1.088600
2024-05-26,BRL,0.193620
2023-05-16,AUD,0.668550
2023-09-19,CHF,1.114990
2024-09-09,INR,0.011910
2023-06-26,INR,0.012200
2023-03-22,BRL,0.190930
2024-02-20,SGD,0.743210
2024-04-19,EUR,1.066450
2023-07-26,AUD,0.677320
2024-04-07,INR,0.012010
2023-09-20,BRL,0.205870
2024-05-11,BRL,0.194360
2023-05-05,AUD,0.668160
2023-04-16,INR,0.012220
2024-01-15,CAD,0.745880
2024-06-30,AUD,0.667050
